Key,English,Indonesia
Call Police 1,Take another look at the sketch,Perhatikan lagi sketsa yang ku kasih
Call Police 2,Be aware of criminals,Waspada sosok penjahat
Call Police 3,Why are you running?,Tangkap dia jangan sampai kabur
Call Police 4,Careful he's armed,Hati-hati dia bersenjata
Call Police 5,Report received immediately go to the location,Laporan diterima segera menuju lokasi
Police Thanks,Thank you for your cooperation,Terima kasih atas kerjasamanya
Greeting,Good morning sir,Selamat pagi pak
Intro,"Lately, thieves are on the prowl around this neighborhood",Akhir akhir ini maling sandal sedang berkeliaran di sekitar kampung sini
Closing,Please report if you see someone whose characteristics are like this,Tolong lapor jika melihat seseorang yang ciri cirinya kayak gini
News Success,The Story of a Successful Madurese Shop,Kisah Pedagang Warung Madura yang Sukses
News Failure,This Madurese Business is Now Bankrupt,Viral!!! Bisnis Madura ini Sekarang Bangkrut
News Evil Catch,Sandal Thief Caught by Locals,Pelaku Maling Sandal Tertangkap Warga
News Evil Flee,The Unsolved Mystery of the Sandal Thief,Misteri Maling Sandal yang Belum Terpecahkan
