Key,English,Indonesia
Menu Play,Start Game,Mainkan
Menu Setting,Setting,Pengaturan
Menu Exit,Quit,Keluar
Menu Volume,Volume,Suara
Menu Lang,Language,Bahasa
Menu Back,Back,Kembali
Menu Day,Day,Hari
Menu Resume,Resume,Lanjut
Result Current,Current Money,Uang Sekarang
Result Tax,Tax,Biaya Pajak
Result Bill,Electric Bill,Biaya Listrik
Result Remain,Money Remaning,Sisa Uang
Battle Ready,Ready?,Bersiap?
Battle Start,Start!,Mulai!
Battle End,Finish!,Selesai!
Menu Result,Receipt Day-,Tagihan Hari-
Menu Credit,Credit,Kredit
