Key,English,Indonesia
Tutorial Buy,Buy Item from shop,Beli barang dari toko
Tutorial Deliver,Item will be delivered soon,Barang akan segera diantar
Tutorial Stock,Store items on storage,Simpan barang ke rak
Tutorial Price,Set item price,Atur harga barang
Tutorial Upgrade,Upgrade your store,Upgrade warung
Tutorial Donate,Customer may give donation,Pelanggan dapat memberi donasi
Tutorial TV,Watch movie on TV,Tonton film di TV
Tutorial Speaker,Play music on speaker,Mainkan lagu di speaker
Tutorial Broom,Fight suspicious customer,Usir pelanggan yang mencurigakan
Tutorial Battle,Criminals may fight back,Maling dapat melawan
Tutorial Sleep,Sleep to end the day,Tidur untuk mengakhiri hari
Tutorial Call,Call police to catch criminals,Telpon polisi untuk menangkap maling
Tutorial Success,Become successful after surviving 3 days,Sukses jika berhasil melewati tiga hari
Tutorial Failure,Become bankrupt if you have no money left,Bangkrut jika kehabisan uang
Tutorial Customer,Customer buy items,Pelanggan membeli barang
Tutorial Order,Give correct items,Berikan barang yang sesuai
Tutorial Pay,Return correct amount of money,Berikan kembalian yang sesuai
Tutorial Leave,Customers leave when their patience runs out,Pelanggan pergi jika kesabarannya habis
